n,bic,aic
1,26287.2022063,26182.0996845
2,25101.9967905,24876.777101
3,25121.9669082,24766.620287
4,25204.5449829,24709.0616659
5,25098.3168027,24452.687026
6,25119.8764993,24314.090499
7,25464.9489486,24488.9969606
8,25692.4177607,24536.290021
9,26100.7280982,24754.4148429
10,26283.3349896,24736.8264547
11,26613.3562976,24856.6427192
12,26932.5337446,24955.6053587
13,27102.4673219,24895.3143644
14,27482.0926895,25034.7053965
15,27774.0278545,25076.3964621
16,28053.3090025,25095.4237466
17,28435.2255552,25207.0766719
18,28894.525598,25386.1033232
19,29286.0765919,25487.3711617
20,29698.2243798,25599.2260302
21,30164.9679947,25755.6669617
22,30633.2086664,25903.5951861
23,31060.5809463,26000.6452547
24,31511.3187465,26111.0510796
25,32044.6348741,26294.0254679
